MUNICIPIO_IBGE;REGIAO;UF;MUNICIPIO_DESCRICAO;Capital;IDHM_2010;Renda_2010;Var_SaldoEmprego;Dens_Demográfica;casosAcumulado_12;Perc_EnsinoMedio_2010;Perc_EnsinoSuper_2010;Variacao_preco;POPULAÇÃO ESTIMADA;SdoEmpresas_var;Contratacoes2020
1302603;Norte;AM;Manaus;1;0,625;762,54;-2329,0;158,06;82218;49,86;10,97;435,1623105;2219580;18330,0;-2,970542293
2507507;Nordeste;PB;João Pessoa;1;0,697;627,59;1512,0;3421,3;41879;49,91;18,61;186,3544445;817511;8517,0;5,858630823
2304400;Nordeste;CE;Fortaleza;1;0,67;562,53;856,0;7786,52;81893;45,93;13,73;203,6723374;2686612;22899,0;2,347698891
2927408;Nordeste;BA;Salvador;1;0,753;727,33;-590,0;3859,35;109906;52,28;14,59;173,3136367;2886698;26131,0;0,678999443
2704302;Nordeste;AL;Maceió;1;0,64;401,42;1267,0;1854,12;36320;41,83;14,24;363,4819963;1025360;8088,0;3,382282477
2607901;Nordeste;PE;Jaboatão dos Guararapes;0;0,732;831,84;962,0;2493,06;13340;38,87;7,77;-125,453966;706867;5324,0;5,634013022
3118601;Sudeste;MG;Contagem;0;0,681;612,8;322,0;3090,33;13392;40,5;8,8;-3,193037792;668949;7427,0;0,458953053
3106200;Sudeste;MG;Belo Horizonte;1;0,629;372,93;1831,0;7167,02;62890;52,6;22,93;284,8499835;2521564;30074,0;0,557863501
3106705;Sudeste;MG;Betim;0;0,606;351,75;157,0;1102,8;10912;34,95;6,53;39,03794268;444784;4457,0;5,717843118
2611606;Nordeste;PE;Recife;1;0,692;346,4;456,0;7037,61;50801;49,62;19,11;-23,5904451;1653461;14177,0;-0,141774344
3205200;Sudeste;ES;Vila Velha;0;0,731;658,96;1410,0;1951,99;33825;53,37;18,49;392,7564721;501325;6767,0;18,466202
3303302;Sudeste;RJ;Niterói;0;0,699;203,43;1459,0;3640,8;22872;65,86;33,68;38,23563648;515317;6856,0;3,762780224
3509502;Sudeste;SP;Campinas;0;0,544;209,0;-2131,0;1358,63;43410;48,72;21,31;129,908511;1213792;12465,0;-2,518129797
3205309;Sudeste;ES;Vitória;1;0,725;265,69;-2405,0;3327,73;28863;64,08;31,86;453,7805366;365855;4083,0;-7,934962064
3513801;Sudeste;SP;Diadema;0;0,593;264,08;-324,0;12519,1;11589;38,69;7,12;262,8385717;426757;4085,0;-1,075378363
3543402;Sudeste;SP;Ribeirão Preto;0;0,737;606,9;-47,0;928,46;30865;48,97;20,87;13,15184769;711825;8676,0;1,816790973
3518701;Sudeste;SP;Guarujá;0;0,73;759,66;851,0;2034,91;10861;37,03;8,67;82,42526386;322750;3416,0;11,46197371
4125506;Sul;PR;São José dos Pinhais;0;0,719;640,64;-1378,0;279,16;10370;39,82;10,37;142,3407843;329058;3928,0;-8,621439443
3547809;Sudeste;SP;Santo André;0;0,772;522,77;157,0;3866,35;27983;51,75;20,14;123,5091459;721368;7947,0;-1,002657529
3550308;Sudeste;SP;São Paulo (território);1;0,692;710,04;-38414,0;7387,69;401718;47,88;20,63;310,2721704;12325232;141353,0;-3,284014986
3549904;Sudeste;SP;São José dos Campos;0;0,556;831,32;-1234,0;572,77;25853;50,75;18,04;139,9115481;729737;8760,0;-3,136611494
4208203;Sul;SC;Itajaí;0;0,73;739,45;-1142,0;633,75;14659;41,38;13,77;391,1527399;223112;3821,0;-0,403460265
3304557;Sudeste;RJ;Rio de Janeiro (território);1;0,576;1114,31;13263,0;5265,81;165079;53,7;21,26;150,1979542;6747815;79416,0;1,636693711
3549805;Sudeste;SP;São José do Rio Preto;0;0,617;180,77;-432,0;946,53;36185;45,13;18,88;83,72863431;464983;5993,0;0,979918868
3534401;Sudeste;SP;Osasco;0;0,749;677,67;389,0;10411,79;18975;42,17;14,19;233,0652077;699944;7973,0;1,949170183
3548807;Sudeste;SP;São Caetano do Sul;0;0,591;302,2;-900,0;9708,79;7608;60,61;31,19;106,5703415;161957;2130,0;-1,390702163
3505708;Sudeste;SP;Barueri;0;0,751;609,76;-1905,0;3639,94;11454;41,77;12,18;280,6931705;276982;4136,0;-9,768038881
3541000;Sudeste;SP;Praia Grande;0;0,754;212,64;688,0;26,09;9333;24,26;7,06;127,8738044;330845;4397,0;10,29704563
3548708;Sudeste;SP;São Bernardo do Campo;0;0,731;2043,74;-1088,0;1872,59;33828;50,28;19,21;122,8742658;844483;9109,0;-1,776098557
4106902;Sul;PR;Curitiba;1;0,721;687,47;-10450,0;4024,84;73822;55,95;25,95;485,8250455;1948626;25155,0;-4,093084294
3548500;Sudeste;SP;Santos;0;0,741;328,99;176,0;1492,23;32311;59,58;27,82;217,0207631;433656;4860,0;0,044857885
4318705;Sul;RS;São Leopoldo;0;0,759;884,18;-250,0;2083,79;12629;39,12;10,5;171,3064508;238648;2183,0;-10,30420257
4205407;Sul;SC;Florianópolis;1;0,732;652,52;-952,0;627,24;42079;65,21;31,47;447,1317926;508826;8927,0;3,483397476
4216602;Sul;SC;São José;0;0,739;540,26;324,0;1388,17;21702;52,03;15,73;244,9340325;250181;3139,0;6,207105369
4113700;Sul;PR;Londrina;0;0,646;781,28;-944,0;306,49;23578;45,33;19,07;-4,400020563;575377;6115,0;-3,847331986
4202008;Sul;SC;Balneário Camboriú;0;0,845;1625,59;1053,0;2309,74;14706;57,07;25,66;457,0431149;145796;2595,0;24,00867093
4304606;Sul;RS;Canoas;0;0,757;692,87;308,0;2470,13;14815;42,35;10,35;104,0095894;348208;3954,0;2,521371626
4305108;Sul;RS;Caxias do Sul;0;0,488;177,35;-1362,0;264,89;20056;44,68;13,51;143,2159142;517451;4697,0;-4,773072499
3551009;Sudeste;SP;São Vicente;0;0,715;892,71;175,0;2232,28;9362;43,21;9,77;1,436529228;368355;3532,0;-1,699602466
3518800;Sudeste;SP;Guarulhos;0;0,717;687,32;-678,0;3828,36;27979;41,03;11,21;124,8195238;1392121;13957,0;-2,41272805
4208302;Sul;SC;Itapema;0;0,654;428,61;217,0;771,5;6507;41,52;15,16;820,8526414;67338;1266,0;23,50044763
4202404;Sul;SC;Blumenau;0;0,679;460,69;-5319,0;594,44;26324;41,22;15,49;202,4065547;361855;4417,0;-23,64977433
4209102;Sul;SC;Joinville;0;0,628;580,97;-3254,0;449,3;44009;48,59;15,98;154,1528759;597658;7789,0;-5,733224576
4316907;Sul;RS;Santa Maria;0;0,59;279,1;237,0;145,98;11448;48,42;18,85;43,53566124;283677;2479,0;3,472966599
4313409;Sul;RS;Novo Hamburgo;0;0,597;463,77;-432,0;1067,54;12140;35,32;9,58;160,4553608;247032;2418,0;-2,815841198
5300108;Centro-Oeste;DF;Brasília;1;0,656;360,93;-2480,0;444,07;251701;55,4;23,95;643,9906857;3055149;29921,0;-0,857431661
4314407;Sul;RS;Pelotas;0;0,646;339,15;392,0;203,89;10092;38,66;13,49;-86,66980631;343132;3003,0;-4,511680835
4314902;Sul;RS;Porto Alegre;1;0,673;257,64;1461,0;2837,52;69660;57,76;25,93;136,9270977;1488252;14733,0;1,509575144
5002704;Centro-Oeste;MS;Campo Grande;1;0,56;237,66;-369,0;97,22;60772;47,81;17,22;218,6892329;906092;10701,0;-0,158747153
5208707;Centro-Oeste;GO;Goiânia;1;0,638;377,59;-1457,0;1776,75;79108;52,32;20,67;180,3661475;1536097;19959,0;0,504223293
